sentiment,text,user
"neutral","RT @masjp72: いやいや、かなりの親日国ですってば。日本車率は本国より高く世界一だし、日本旅行ブーム。でも車以外の日本製信仰は崩れた感が。既に家電も全般的に中韓メインだし日本製スマホも消えた。Samsungのスマホは10万円以上するのに売れまくりであり、値段ではなく品…","P_iko62"
"negative","I have got a fake samsung level u wireless earphone from @snapdeal so I have raised request to refund it then i got… https://t.co/8BG4VyViEa","Rahulcho22"
"positive","Samsung’s Galaxy Note9: Too Much Phone for Most of Us https://t.co/XXJsn8hBFL","kiran_sand"
"positive","RT @Emojipedia: 📝 Emoji 11.0 Support (updated)\n\n✅ Twemoji: Jun 2018\n✅ Google: Aug 2018\n✅ EmojiOne: Aug 2018\n🔜 Samsung: Aug 2018 (confirmed)…","mcredou"
"negative","RT @WhispersInspire: My days are long. Seriously, I can’t wait for a phone battery that’s longer! @BestBuy’s taking pre-orders for the new…","Coupondipity"
"positive","Quit trying to justify that the Note 9 isn’t worth it. Yeah I’m sure there are other phone out that’s half the pric… https://t.co/AWwgMAJLKN","TechnicallyTee"
"neutral","#SamsungIoT &amp; #Bixby enabled devices allow me to do things that were not possible before. Now I can see what’s insi… https://t.co/TveOq2r15t","ahatshan"
"positive","There’s still time to enter and/or get extra entries for our #SprintSpiritSweepstakes! Win a vacation for 4, state-… https://t.co/WozcHAICt0","sprint"
"positive","RT @FortniteGame: Fortnite is rolling out on Android starting today! Samsung Galaxy devices are the first to be invited. Visit the Android…","csbeast1"
"neutral","#SamsungIoT &amp; #Bixby enabled devices allow me to do things that were not possible before. Now, I can see what’s ins… https://t.co/JINmMzA60Q","ahatshan"
"neutral","PIOR MENTIRA DO MUNDO DIGITAL É QUE ANDROID \"PURO\" É MELHOR, pqp essa desgraça de @MotorolaBR é toda bugada! Outras… https://t.co/VImHVMjVhU","mtbcarai"
"positive","RT @SamsungMobileIN: Q2 Level up your mobile gaming experience with the all new super powerful #GalaxyNote9. Watch the webcast, reply using…","Sagarjack"
"neutral","أضفت فيديو إلى قائمة تشغيل @YouTube على https://t.co/Ah6K0mJiOn Samsung j2 pro J250f frp bypass google","shenawy200200"
"positive","@minhwantuan Okok les gammes de Samsung galaxy A3 sont vraiment bien et sinon le galaxy s6 est top surtout niveau p… https://t.co/MG02GQedZs","WANGasmique"
"neutral","RT @guardian: Samsung Galaxy Note 9 review: the do-everything phone https://t.co/gaRsFaE3gA","Wealth365Inc"
"neutral","RT @POORVIKA_MOBILE: Meet the South Indian Queen Actress @trishtrashers at our @POORVIKA_MOBILE store in Adambakkam today by 4.30 PM.\n\n#Sam…","Deepii56"
"positive","RT @SamsungMobileIN: Q4: Get effortlessly brilliant shots with this intelligent camera feature. Watch the webcast, reply using #TimeForNote…","ACoffeeAddict"
"neutral","RT @gadgetsnow: https://t.co/H7xTz2gTcX","sunil_swizy"
"positive","RT @SamsungMobileIN: @kingsunny7922 Get Ready to experience the all new super powerful Note. The #GalaxyNote9 now in India, watch all the a…","kingsunny7922"
"positive","RT @KuatoStudios: ⭐#Win a remote control TB2, TB2 lunch bag, FAB1 plush from @hrdesignltd and an 8gb Samsung Galaxy tablet! ⭐ \n\nRT this pos…","Lisamad83"
"positive","@GmanThe2nd We'd love to check out the details for your sweet new Samsung Galaxy Note 9! Send us DM here… https://t.co/VOAfJPIPph","TMobileHelp"
"neutral","He participado para conseguir un Samsung S9+, con auriculares y smartwatch. Participa ahora con… https://t.co/8Cz3gxKq4u","robertoperez76"
"positive","Samsung Galaxy Tab S4 now available in Canada\nhttps://t.co/sBKmlIvNHg https://t.co/MJ3W8hARN3","MobileSyrup"
"neutral","@SamsungMobileIN A3: \" Samsung DeX \" allows us to convert laptop into a PC. 💻📲\n\n#TimeforNote9 #GalaxyNote9 @SamsungMobileIN","ACoffeeAddict"
"neutral","'clouds' - #Hollenstein #Kirchbergamwalde #Waldviertel #Niederösterreich #Austria #Österreich #landscape… https://t.co/5vEsxyfF3n","giep68"
"neutral","UQモバイル\niOS12 Bata更新でテザリング解禁 https://t.co/TRPF6swFgl","VoLTE_Samsung"
"neutral","@arinspiredza Tk suka pkai yg iphone pnya geli 🤣🤣🤣🤣🤣🤣 suka Samsung pnya","siasikin_"
"neutral","@Samsung_IN I already used in note8","NaveenH04161368"
"neutral","RT @SuperSaf: iPhone X or Samsung Galaxy Note 9? https://t.co/dsotweAsRg\n\n❤️ Like = #iPhoneX (1 point) \n🔁 RT = #GalaxyNote9 (3 points) http…","ari_misra138"
"neutral","RT @TechnicalGuruji: Tech Talks #587 - PUBG XBox, Nokia 6.1 Plus, Oppo F9 Pro, Facebook AI, Samsung Note 9, Whatsapp Use https://t.co/ZaG9Z…","Binayku07589209"
"neutral","https://t.co/8O2mCTFTn9","PositiveRadio"
"neutral","Samsung está trabajando en una nueva generación de la Galaxy View - https://t.co/sC1uJRNBbH https://t.co/GSoEfvQ151","androidsis"
"neutral","Samsung está trabajando en una nueva generación de la Galaxy View - https://t.co/WgiYsGgVMd https://t.co/W08k3PeXh1","Googlelizados"
"neutral","RT @twandroid: ⌚ La montre connectée #SamsungGalaxyWatch est dispo en précommande sur @rueducommerce ! 😍 👉 https://t.co/HtQQ47xwyg\n\n🔸Ecran…","carpediem_ego"
"positive","RT @SamsungMobileIN: Q4: Get effortlessly brilliant shots with this intelligent camera feature. Watch the webcast, reply using #TimeForNote…","nikhilcoool06"
"negative","@YHLMag @Samsung @AVogelUK Gym or swimming everyday","0zzyhog"
"positive","RT @TechnicalGuruji: Samsung Galaxy Note 9 launched in India..Kuch interesting karte hai fir jaldi hi... https://t.co/4YeK2ej1qW","Binayku07589209"
"neutral","Gostei de um vídeo @YouTube https://t.co/o6h9cvTVuB to disassemble 📱 Samsung Galaxy A7 A710 (2016) Take apart Tutorial","jpaulovianna"
"positive","Samsung Galaxy Note 9 Launched in India: Price, Offers and Specifications https://t.co/O37M5ico3o via @gadgetstouse… https://t.co/MCjFbgJ6rB","gopalakrishnan5"
"positive","Samsung phone got the new FOTA update | J7 prime oreo update and j6 infinity new update: https://t.co/oUIP6iWYCr via @YouTube","AndroidTech001"
"positive","RT @RajivMakhni: Prices for the New Samsung Note 9 https://t.co/Az3P4urkLh","innocent_boy110"
"positive","RT @SamsungMobileIN: Q3: This feature of the all new super powerful #GalaxyNote9 helps in transforming your phone into a PC like experience…","ACoffeeAddict"
"neutral","RT @ZZ_Princess: Elle insiste pour y retourner. Je lui dis que c’est pas la meilleure solution. Mais elle n’a pas le choix (les gens qui on…","ludosseh"
"neutral","RT @nisharotech: So the wait is finally getting over with @Samsung_IN launching its premium #GalaxyNote9 smartphone in India that comes wit…","nimisha_prasad2"
"neutral","ఇండియన్ మార్కెట్ లోకి #Samsung Galaxy Note 9 స్మార్ట్ ఫోన్: ధర,స్పెసిఫికేషన్స్,ఫీచర్స్ వివరాలు… https://t.co/dOEyGgef2j","TeluguDigit"
"positive","Love to Be with Samsung Samsung Mobile\n\n#SAMSUNG #MEMBERS #FAN #PARTY #WITH #GALAXY #NOTE #NOTE9 #GALAXYNOTE9… https://t.co/qWavmFKrxT","VimalDoshi1989"
"positive","Just now  Samsung has launched 2 variant of note 9 in India today.  Samsung is giving big storage as well as cool d… https://t.co/QJ3J4ACZ8e","rohan55126224"
"positive","RT @SamsungMobileIN: Q5. In India, the #GalaxyNote9 will be available in these ‘never-seen-before’ colour variants. Watch the webcast, repl…","VishnuNairBabu1"
"positive","@SamsungMobileIN A3. SAMSUNG DEX \nIt transforms mobile into a PC-like experience to do more of PC work on mobile… https://t.co/E2JS9FYpId","nikhilcoool06"
"neutral","Render reveals the Samsung Galaxy J2 Core color options\n\nThe Galaxy J2 Core is going to be an affordable Android Go… https://t.co/82r0nn0vuH","besttechtrade"
"positive","RT @gadgetstouse: #GTUTechUpdate Samsung #GalaxyNote9 Launched in India: Price, Offers and Specifications: https://t.co/Rlgq0atBRv https://…","gopalakrishnan5"
"positive","Samsung Galaxy Note 9 vs Galaxy Note 8\n\nThe mighty Samsung Galaxy Note 9, it’s been unwrapped and sets the tone for… https://t.co/WaN4dWDKbO","besttechtrade"
"negative","RT @SamsungMobileIN: Q1: No more rushing to beat the self-timer or straining your arm to take a selfie. Watch the webcast, reply using #Tim…","Sagarjack"
"neutral","RT @_GamersOnly: 🔥This giveaway is LIT!!🔥\n👀Don’t miss out👀\n\n🎉 Samsung 4K Monitor, ASTRO A40 Headset + MixAmp, &amp; SCUF Controller\n👋 Tag Your…","TheBadguy1992"
"positive","RT @ActressTrisha: If you missed the live of @trishtrashers launching the Samsung Galaxy Note 9 in  @POORVIKA_MOBILE store in Adambakkam. H…","Deepii56"
"positive","RT @SamsungMobileIN: You can now create your own workstation. Samsung Dex is the ultimate extension for you all- Asim Warsi, VP, Samsung In…","thKanishkaMehta"
"neutral","సామ్ సంగ్ ఇండియన్ మార్కెట్ లోకి Samsung Galaxy Note 9 స్మార్ట్ ఫోన్ ని విడుదల చేసింది. ఈ స్మార్ట్ ఫోన్ రెండు మోడల్… https://t.co/3zEoybmO0E","saladi_saladi"
"negative","Was thinking about the imo ugliness of the notch in the iPhone 10 so I googled a bit and apparently samsung has a p… https://t.co/iSuOtLnxeY","bastheist"
"positive","I entered to win a Samsung Gear S3 Smartwatch (ARV $399) at Feisty Frugal &amp; Fabulous. Here's where you can enter to… https://t.co/0NWcVUDKpq","JemsW16"
"neutral","He participado para conseguir un Samsung S9+, con auriculares y smartwatch. Participa ahora con… https://t.co/jFLM123aH3","SherperkMan"
"neutral","I Prefer OnePlus over Samsung because _______. Watch how @OnePlus_IN has beaten @SamsungMobileIN in India… https://t.co/CxwYwb1LQ6","Vin90Vinit"
"positive","I liked a @YouTube video https://t.co/3lB2TlFmdz Samsung Galaxy S10 - OFFICIAL NEWS!!","ahmed_065"
"positive","RT @SamsungMobileIN: Q4: Get effortlessly brilliant shots with this intelligent camera feature. Watch the webcast, reply using #TimeForNote…","VishnuNairBabu1"
"neutral","RT @ipedd_: อ่ะมาพรีวิว#NOTE9th ง่ายง่ายละกัน\nตามอ่านรีพลายใต้ทวีตเอาละกันเนอะ.\n- ตัวกล่องมีสองชั้น\n- ข้างหลังชั้นแรกก็บอกสเปคเครื่อง\nซื้อ…","ForeverELF852"
"neutral","@TechnicalGuruji @SamsungMobileIN @SamsungMobile Yes plz make a giveaway contest of Samsung galaxy note 9 ☺️☺️☺️","Binayku07589209"
"neutral","Why Branch Banking Technology Is a Critical Part of the Customer Journey https://t.co/m75UNP9s5y https://t.co/WzSkwKc4Nt","DavidMPerez1"
"neutral","RT @nicorivera9: El Galaxy Note 9 es uno de mis teléfonos favoritos del año. Insisto con lo que ya dije en el pasado: no sorprende en nada,…","estmogon"
"positive","RT @SamsungMobileIN: Q5. In India, the #GalaxyNote9 will be available in these ‘never-seen-before’ colour variants. Watch the webcast, repl…","Maan189"
"positive","RT @SamsungMobileIN: Q4: Get effortlessly brilliant shots with this intelligent camera feature. Watch the webcast, reply using #TimeForNote…","bhansali_jinal"
"positive","RT @SamsungMobileIN: Q4: Get effortlessly brilliant shots with this intelligent camera feature. Watch the webcast, reply using #TimeForNote…","Maan189"
"positive","For the first time in India, Some really good mid-range smartphones will arrive this Diwali from Samsung.\n\n#Samsung… https://t.co/KOAuddXvyE","PaidFreeDroid"
"positive","After an year of my complaining about the phone and demanding a replacement, you did a great job wasting my time, m… https://t.co/YCi00v3Xsh","ShivamC68097946"
"positive","RT @SamsungMobileIN: Q3: This feature of the all new super powerful #GalaxyNote9 helps in transforming your phone into a PC like experience…","Maan189"
"neutral","@SamsungMobileIN Hey @SamsungMobileIN Its the \" SAMSUNG DEX\" that will help us in transforming our #GalaxyNote9 int… https://t.co/y6lnNPNGkk","bhansali_jinal"
